Event	Latitude	Longitude	Country	State	County	Status	Cancellations	Website
Lloyd junior parkrun	51.36575	-0.080886	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/lloyd-juniors
Lloyd parkrun, Croydon	51.364807	-0.079973	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/lloyd
Llyn Llech Owain parkrun	51.812913	-4.080563	United Kingdom	Wales	Carmarthenshire	parkrunning	[]	https://www.parkrun.org.uk/llynllechowain
Loch Leven junior parkrun	56.201892	-3.412742	United Kingdom	Scotland	Perth and Kinross	junior parkrunning	[]	https://www.parkrun.org.uk/lochleven-juniors
Loch Leven parkrun	56.219434	-3.358085	United Kingdom	Scotland	Perth and Kinross	parkrunning	[]	https://www.parkrun.org.uk/lochleven
Loch Neaton parkrun, Watton	52.577558	0.8274	United Kingdom	England	Norfolk	parkrunning	[]	https://www.parkrun.org.uk/lochneaton
Lochend Woods parkrun	55.997214	-2.521501	United Kingdom	Scotland	East Lothian	parkrunning	[]	https://www.parkrun.org.uk/lochendwoods
Lochiel parkrun	-34.880815	138.649251	Australia	South Australia	Campbelltown	parkrunning	[]	https://www.parkrun.com.au/lochiel
Lochore Meadows parkrun	56.150699	-3.33708	United Kingdom	Scotland	Fife	parkrunning	[]	https://www.parkrun.org.uk/lochoremeadows
Logan River parkrun	-27.698831	153.192024	Australia	Queensland	Logan	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'weather and dangerous course conditions'}]	https://www.parkrun.com.au/loganriver
London Fields junior parkrun	51.542178	-0.060373	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/londonfields-juniors
Lonehill parkrun	-26.014461	28.027883	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/lonehill
Long Eaton junior parkrun	52.895161	-1.288336	United Kingdom	England	Derbyshire	junior parkrunning	[]	https://www.parkrun.org.uk/longeaton-juniors
Long Eaton parkrun	52.895155	-1.285853	United Kingdom	England	Derbyshire	parkrunning	[]	https://www.parkrun.org.uk/longeaton
Longford junior parkrun	53.732238	-7.79129	Ireland	Leinster	Longford	junior parkrunning	[]	https://www.parkrun.ie/longford-juniors
Longford parkrun	53.732429	-7.789952	Ireland	Leinster	Longford	parkrunning	[]	https://www.parkrun.ie/longford
Longrun Meadow junior parkrun	51.017199	-3.115089	United Kingdom	England	Somerset	junior parkrunning	[]	https://www.parkrun.org.uk/longrunmeadow-juniors
Longrun Meadow parkrun	51.018755	-3.114989	United Kingdom	England	Somerset	parkrunning	[]	https://www.parkrun.org.uk/longrunmeadow
Longton junior parkrun	52.976222	-2.138212	United Kingdom	England	Stoke-on-Trent	junior parkrunning	[]	https://www.parkrun.org.uk/longton-juniors
Lorne Beach parkrun	-38.543524	143.978708	Australia	Victoria	Surf Coast	parkrunning	[]	https://www.parkrun.com.au/lornebeach
Lota parkrun	-27.468558	153.193225	Australia	Queensland	Brisbane	parkrunning	[]	https://www.parkrun.com.au/lota
Lough Key parkrun	53.984896	-8.235512	Ireland	Connaught	Roscommon	parkrunning	[]	https://www.parkrun.ie/loughkey
Lough Moss junior parkrun	54.514716	-5.900203	United Kingdom	Northern Ireland	Down	junior parkrunning	[]	https://www.parkrun.org.uk/loughmoss-juniors
Louis Hamon Park parkrun	-36.094049	145.442706	Australia	Victoria	Moira	parkrunning	[]	https://www.parkrun.com.au/louishamonpark
Louis Trichardt parkrun	-23.042459	29.916763	South Africa	Limpopo	Vhembe District Municipality	parkrunning	[]	https://www.parkrun.co.za/louistrichardt
Lower Hutt parkrun	-41.210738	174.899498	New Zealand	Wellington	Lower Hutt City	parkrunning	[]	https://www.parkrun.co.nz/lowerhutt
Lowestoft parkrun	52.468286	1.747338	United Kingdom	England	Suffolk	parkrunning	[]	https://www.parkrun.org.uk/lowestoft
Loxton parkrun	-31.479836	22.359425	South Africa	Northern Cape	Pixley ka Seme District Municipality	parkrunning	[]	https://www.parkrun.co.za/loxton
Ludlow parkrun	52.353284	-2.773078	United Kingdom	England	Herefordshire	parkrunning	[]	https://www.parkrun.org.uk/ludlow
Luitpold parkrun	48.755364	11.427231	Germany	Bavaria	Upper Bavaria	parkrunning	[]	https://www.parkrun.com.de/luitpold
Lullingstone parkrun	51.353118	0.187147	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/lullingstone
Lurgan junior parkrun	54.462455	-6.321318	United Kingdom	Northern Ireland	Armagh	junior parkrunning	[]	https://www.parkrun.org.uk/lurgan-juniors
Luton Wardown parkrun	51.889853	-0.420917	United Kingdom	England	Luton	parkrunning	[]	https://www.parkrun.org.uk/lutonwardown
Lutterworth Country Park junior parkrun	52.458921	-1.220674	United Kingdom	England	Leicestershire	junior parkrunning	[]	https://www.parkrun.org.uk/lutterworthcountrypark-juniors
Lydiard junior parkrun	51.563048	-1.857423	United Kingdom	England	Swindon	junior parkrunning	[]	https://www.parkrun.org.uk/lydiard-juniors
Lydiard parkrun	51.561489	-1.853621	United Kingdom	England	Swindon	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Another event in the Park'}]	https://www.parkrun.org.uk/lydiard
Lydney parkrun	51.721613	-2.52648	United Kingdom	England	Gloucestershire	parkrunning	[]	https://www.parkrun.org.uk/lydney
Lyme Park parkrun	53.337193	-2.058402	United Kingdom	England	Cheshire East	parkrunning	[]	https://www.parkrun.org.uk/lymepark
Lymington Woodside parkrun	50.747747	-1.54548	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/lymingtonwoodside
Lytham Hall parkrun	53.744855	-2.977613	United Kingdom	England	Lancashire	parkrunning	[]	https://www.parkrun.org.uk/lythamhall
Løvstien parkrun, Bergen	60.376694	5.322763	Norway	Vestland	Bergen	parkrunning	[]	https://www.parkrun.no/lovstien
MUSA Cookstown parkrun	54.615093	-6.735656	United Kingdom	Northern Ireland	Tyrone	parkrunning	[]	https://www.parkrun.org.uk/musacookstown
Maaraue parkrun	49.999512	8.288876	Germany	Hesse	Regierungsbezirk Darmstadt	parkrunning	[]	https://www.parkrun.com.de/maaraue
Maborikaigan yuhodo parkrun	35.263762	139.712655	Japan	Kanagawa	Yokosuka	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': '悪天候の予報であるため'}]	https://www.parkrun.jp/maborikaiganyuhodo
MacRosty junior parkrun	56.378325	-3.847588	United Kingdom	Scotland	Perth and Kinross	junior parkrunning	[]	https://www.parkrun.org.uk/macrosty-juniors
Macclesfield parkrun	53.251413	-2.1303	United Kingdom	England	Cheshire East	parkrunning	[]	https://www.parkrun.org.uk/macclesfield
Mackay parkrun	-21.152238	149.155797	Australia	Queensland	Mackay	parkrunning	[]	https://www.parkrun.com.au/mackay
Macroom Castle Demesne parkrun	51.904698	-8.962054	Ireland	Munster	Cork	parkrunning	[]	https://www.parkrun.ie/macroomcastledemesne
Maesteg parkrun	51.609499	-3.665573	United Kingdom	Wales	County Borough of Bridgend	parkrunning	[]	https://www.parkrun.org.uk/maesteg
Magherafelt junior parkrun	54.761747	-6.596783	United Kingdom	Northern Ireland	Derry	junior parkrunning	[]	https://www.parkrun.org.uk/magherafelt-juniors
Maidenhead parkrun	51.51095	-0.712135	United Kingdom	England	Windsor and Maidenhead	parkrunning	[]	https://www.parkrun.org.uk/maidenhead
Maidstone parkrun	51.29641	0.507689	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/maidstone
Main Beach parkrun	-27.972706	153.428879	Australia	Queensland	Gold Coast	parkrunning	[]	https://www.parkrun.com.au/mainbeach
Malahide Castle junior parkrun	53.448561	-6.159048	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/malahidecastle-juniors
Malahide parkrun	53.444487	-6.162729	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/malahide
Maldon Prom junior parkrun	51.726789	0.689713	United Kingdom	England	Essex	junior parkrunning	[]	https://www.parkrun.org.uk/maldonprom-juniors
Maldon Prom parkrun	51.726742	0.68877	United Kingdom	England	Essex	parkrunning	[]	https://www.parkrun.org.uk/maldonprom
Maleny Trail parkrun	-26.760218	152.860806	Australia	Queensland	Sunshine Coast	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Unsafe conditions due to heavy rain'}]	https://www.parkrun.com.au/malenytrail
Mallards Pike parkrun	51.784666	-2.528555	United Kingdom	England	Gloucestershire	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Conflicting running event using part of the course'}]	https://www.parkrun.org.uk/mallardspike
Malling parkrun	51.31537	0.437343	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/malling
Mallow Castle parkrun	52.134517	-8.637864	Ireland	Munster	Cork	parkrunning	[]	https://www.parkrun.ie/mallowcastle
Malmesbury parkrun	-33.456785	18.736718	South Africa	Western Cape	West Coast District Municipality	parkrunning	[]	https://www.parkrun.co.za/malmesbury
Malmö Ribersborg parkrun	55.60278	12.96944	Sweden	Skåne	Malmö Municipality	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Toughest event in the park, obstructing our course'}]	https://www.parkrun.se/malmoribersborg
Malvern Park junior parkrun	52.411054	-1.771231	United Kingdom	England	Solihull	junior parkrunning	[]	https://www.parkrun.org.uk/malvernpark-juniors
Manjimup parkrun	-34.227785	116.179615	Australia	Western Australia	Manjimup	parkrunning	[]	https://www.parkrun.com.au/manjimup
Manor Field parkrun, Whittlesey	52.551869	-0.125941	United Kingdom	England	Cambridgeshire	parkrunning	[]	https://www.parkrun.org.uk/manorfieldwhittlesey
Manor Park junior parkrun	51.288548	0.405811	United Kingdom	England	Kent	junior parkrunning	[]	https://www.parkrun.org.uk/manorpark-juniors
Mansfield Botanic parkrun	-37.052419	146.093889	Australia	Victoria	Mansfield	parkrunning	[]	https://www.parkrun.com.au/mansfieldbotanic
Mansfield OH parkrun	40.767616	-82.538434	USA	Ohio	Richland	parkrunning	[]	https://www.parkrun.us/mansfieldoh
Mansfield parkrun	53.174034	-1.183844	United Kingdom	England	Nottinghamshire	parkrunning	[]	https://www.parkrun.org.uk/mansfield
Mansfield parkrun, Queensland	-27.522987	153.101744	Australia	Queensland	Brisbane	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'The course is flooded due to heavy rain.'}]	https://www.parkrun.com.au/mansfieldqld
Mapetla parkrun	-26.271531	27.838264	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/mapetla
March parkrun	52.550069	0.086208	United Kingdom	England	Cambridgeshire	parkrunning	[]	https://www.parkrun.org.uk/march
Marecchia parkrun	44.063117	12.562389	Italy	Emilia-Romagna	Provincia di Rimini	parkrunning	[]	https://www.parkrun.it/marecchia
Margaret River parkrun	-33.944257	115.074331	Australia	Western Australia	Augusta-Margaret River Shire	parkrunning	[]	https://www.parkrun.com.au/margaretriver
Margate junior parkrun	51.383375	1.37197	United Kingdom	England	Kent	junior parkrunning	[]	https://www.parkrun.org.uk/margate-juniors
Margate parkrun	51.39207	1.403997	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/margate
Maribyrnong parkrun	-37.770632	144.897858	Australia	Victoria	Maribyrnong	parkrunning	[]	https://www.parkrun.com.au/maribyrnong
Marina parkrun	-28.763698	114.613067	Australia	Western Australia	Greater Geraldton	parkrunning	[]	https://www.parkrun.com.au/marina
Marine Parade parkrun	51.334997	-2.983828	United Kingdom	England	North Somerset	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'SeeMonster ran away with the circus! Course Hazard'}]	https://www.parkrun.org.uk/marineparade
Markeaton junior parkrun	52.934138	-1.503604	United Kingdom	England	Derby	junior parkrunning	[]	https://www.parkrun.org.uk/markeaton-juniors
Markeaton parkrun	52.935408	-1.504769	United Kingdom	England	Derby	parkrunning	[]	https://www.parkrun.org.uk/markeaton
Market Harborough junior parkrun	52.47499	-0.928372	United Kingdom	England	Leicestershire	junior parkrunning	[]	https://www.parkrun.org.uk/marketharborough-juniors
Market Harborough parkrun	52.474487	-0.924979	United Kingdom	England	Leicestershire	parkrunning	[]	https://www.parkrun.org.uk/marketharborough
Market Rasen Racecourse parkrun	53.380502	-0.309019	United Kingdom	England	Lincolnshire	parkrunning	[]	https://www.parkrun.org.uk/marketrasenracecourse
Markshall Estate parkrun	51.897737	0.673757	United Kingdom	England	Essex	parkrunning	[]	https://www.parkrun.org.uk/markshallestate
Marlay junior parkrun	53.275009	-6.27174	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/marlay-juniors
Marlay parkrun	53.27689	-6.271777	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/marlay
Marlborough Common parkrun	51.42448	-1.732581	United Kingdom	England	Wiltshire	parkrunning	[]	https://www.parkrun.org.uk/marlboroughcommon
Marple junior parkrun	53.408027	-2.05793	United Kingdom	England	Stockport	junior parkrunning	[]	https://www.parkrun.org.uk/marple-juniors
Marple parkrun	53.404476	-2.056509	United Kingdom	England	Stockport	parkrunning	[]	https://www.parkrun.org.uk/marple
Marriott Waters parkrun	-38.072157	145.249088	Australia	Victoria	Casey	parkrunning	[]	https://www.parkrun.com.au/marriottwaters
Marshall Drive parkrun, Brotton	54.574096	-0.947956	United Kingdom	England	Redcar and Cleveland	parkrunning	[]	https://www.parkrun.org.uk/marshalldrive
Maryborough parkrun	-25.533689	152.686507	Australia	Queensland	Fraser Coast	parkrunning	[]	https://www.parkrun.com.au/maryborough
Matlosana Bird parkrun	-26.844873	26.663535	South Africa	North-West	Dr Kenneth Kaunda District Municipality	parkrunning	[]	https://www.parkrun.co.za/matlosanabird
Mawson Lakes parkrun	-34.81134	138.616733	Australia	South Australia	Salisbury	parkrunning	[]	https://www.parkrun.com.au/mawsonlakes
Maylands Peninsula parkrun	-31.947167	115.915089	Australia	Western Australia	Bayswater	parkrunning	[]	https://www.parkrun.com.au/maylandspeninsula
Mbabane parkrun	-26.318875	31.144017	Eswatini	Hhohho		parkrunning	[]	https://www.parkrun.co.za/mbabane
McLean Beach parkrun	-35.519255	144.959987	Australia	New South Wales	Edward River Council	parkrunning	[]	https://www.parkrun.com.au/mcleanbeach
Meadowbrook parkrun	-27.673493	153.155785	Australia	Queensland	Logan	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course flooded due to rain event'}]	https://www.parkrun.com.au/meadowbrook
Meadowmill parkrun	55.954249	-2.966242	United Kingdom	Scotland	East Lothian	parkrunning	[]	https://www.parkrun.org.uk/meadowmill
Meadowvale parkrun	43.585052	-79.755213	Canada	Ontario	Peel	parkrunning	[]	https://www.parkrun.ca/meadowvale
Medina I.O.W junior parkrun	50.707098	-1.288812	United Kingdom	England	Isle of Wight	junior parkrunning	[]	https://www.parkrun.org.uk/medina-juniors
Medina I.O.W. parkrun	50.711823	-1.286999	United Kingdom	England	Isle of Wight	parkrunning	[]	https://www.parkrun.org.uk/medina
Medway junior parkrun	51.394926	0.564496	United Kingdom	England	Medway	junior parkrunning	[]	https://www.parkrun.org.uk/medway-juniors
Meijo koen parkrun	35.18735	136.903707	Japan	Aichi	Nagoya	parkrunning	[]	https://www.parkrun.jp/meijokoen
Melkbosstrand parkrun	-33.72855	18.438259	South Africa	Western Cape	City of Cape Town	parkrunning	[]	https://www.parkrun.co.za/melkbosstrand
Melksham parkrun	51.377226	-2.136235	United Kingdom	England	Wiltshire	parkrunning	[]	https://www.parkrun.org.uk/melksham
Mellowes Park junior parkrun	53.391669	-6.305834	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/mellowespark-juniors
Melton Mowbray junior parkrun	52.774327	-0.877767	United Kingdom	England	Leicestershire	junior parkrunning	[]	https://www.parkrun.org.uk/meltonmowbray-juniors
Melton Mowbray parkrun	52.780002	-0.879068	United Kingdom	England	Leicestershire	parkrunning	[]	https://www.parkrun.org.uk/meltonmowbray
Menai parkrun	-34.016364	151.015082	Australia	New South Wales	Sutherland Shire	parkrunning	[]	https://www.parkrun.com.au/menai
Mendel Riverbank parkrun	52.134511	-106.648378	Canada	Saskatchewan		parkrunning	[]	https://www.parkrun.ca/mendelriverbank
Meningie parkrun	-35.68627	139.338438	Australia	South Australia	The Coorong	parkrunning	[]	https://www.parkrun.com.au/meningie
Mensola parkrun	43.77528	11.308243	Italy	Tuscany	Florence	parkrunning	[]	https://www.parkrun.it/mensola
Mernda parkrun	-37.593706	145.100493	Australia	Victoria	Whittlesea	parkrunning	[]	https://www.parkrun.com.au/mernda
Mersea Island parkrun	51.79164	0.99368	United Kingdom	England	Essex	parkrunning	[]	https://www.parkrun.org.uk/merseaisland
Merthyr parkrun	51.73896	-3.375658	United Kingdom	Wales	Merthyr Tydfil	parkrunning	[]	https://www.parkrun.org.uk/merthyr
Meyers Farm parkrun	-26.267929	28.094768	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/meyersfarm
Meyerton parkrun	-26.57717	28.022153	South Africa	Gauteng	Sedibeng District Municipality	parkrunning	[]	https://www.parkrun.co.za/meyerton
Middelburg parkrun	-25.732228	29.510178	South Africa	Mpumalanga	Nkangala District Municipality	parkrunning	[]	https://www.parkrun.co.za/middelburg
Middleton Woods parkrun	53.751892	-1.557233	United Kingdom	England	Leeds	parkrunning	[]	https://www.parkrun.org.uk/middletonwoods
Midstream parkrun	-25.919924	28.205604	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/midstream
Milano Nord parkrun	45.53007	9.211192	Italy	Lombardy	Milan	parkrunning	[]	https://www.parkrun.it/milanonord
Mildura Weir parkrun	-34.175887	142.162215	Australia	Victoria	Mildura	parkrunning	[]	https://www.parkrun.com.au/milduraweir
Mile End junior parkrun	51.518602	-0.034735	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/mileend-juniors
Mile End parkrun	51.518169	-0.033946	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/mileend
Miles parkrun	-26.656701	150.180284	Australia	Queensland	Western Downs	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course flooded'}]	https://www.parkrun.com.au/miles
Milford Waterfront parkrun	51.710763	-5.031507	United Kingdom	Wales	Pembrokeshire	parkrunning	[]	https://www.parkrun.org.uk/milfordwaterfront
Millennium Country parkrun, Forest of Marston Vale	52.065265	-0.534082	United Kingdom	England	Central Bedfordshire	parkrunning	[]	https://www.parkrun.org.uk/millenniumcountry
Millennium Green junior parkrun	51.681029	-1.408248	United Kingdom	England	Oxfordshire	junior parkrunning	[]	https://www.parkrun.org.uk/millenniumgreen-juniors
Millfield parkrun	54.125154	-1.190864	United Kingdom	England	North Yorkshire	parkrunning	[]	https://www.parkrun.org.uk/millfield
Millhouses parkrun	53.338516	-1.505027	United Kingdom	England	Sheffield	parkrunning	[]	https://www.parkrun.org.uk/millhouses
Millom parkrun	54.21399	-3.26996	United Kingdom	England	Cumbria	parkrunning	[]	https://www.parkrun.org.uk/millom
Millwater parkrun	-36.602838	174.679409	New Zealand	Auckland	Auckland	parkrunning	[]	https://www.parkrun.co.nz/millwater
Milnrow Memorial Park junior parkrun	53.604202	-2.10291	United Kingdom	England	Rochdale	junior parkrunning	[]	https://www.parkrun.org.uk/milnrowmemorialpark-juniors
Milton Keynes junior parkrun	52.002181	-0.782082	United Kingdom	England	Milton Keynes	junior parkrunning	[]	https://www.parkrun.org.uk/miltonkeynes-juniors
Milton Keynes parkrun	52.05011	-0.722984	United Kingdom	England	Milton Keynes	parkrunning	[]	https://www.parkrun.org.uk/miltonkeynes
Minehead parkrun	51.207524	-3.469591	United Kingdom	England	Somerset	parkrunning	[]	https://www.parkrun.org.uk/minehead
Minnippi parkrun	-27.49331	153.118679	Australia	Queensland	Brisbane	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course is flooded'}]	https://www.parkrun.com.au/minnippi
Mitchells Plain parkrun	-34.043918	18.597581	South Africa	Western Cape	City of Cape Town	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'COVID-19 (Coronavirus)'}]	https://www.parkrun.co.za/mitchellsplain
Mitchelton parkrun	-27.404423	152.979298	Australia	Queensland	Brisbane	parkrunning	[]	https://www.parkrun.com.au/mitchelton
Moana parkrun	-35.197847	138.470913	Australia	South Australia	Onkaparinga	parkrunning	[]	https://www.parkrun.com.au/moana
Modimolle parkrun	-24.694698	28.385259	South Africa	Limpopo	Waterberg District Municipality	parkrunning	[]	https://www.parkrun.co.za/modimolle
Mofolo parkrun	-26.243398	27.888986	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/mofolo
Mogol parkrun	-23.686683	27.693497	South Africa	Limpopo	Waterberg District Municipality	parkrunning	[]	https://www.parkrun.co.za/mogol
Moira junior parkrun	54.483275	-6.228082	United Kingdom	Northern Ireland	Down	junior parkrunning	[]	https://www.parkrun.org.uk/moira-juniors
Mole Valley parkrun	51.248259	-0.330645	United Kingdom	England	Surrey	parkrunning	[]	https://www.parkrun.org.uk/molevalley
Momoi harappa koen parkrun	35.713523	139.607963	Japan	Tokyo	Suginami	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Storm alert'}]	https://www.parkrun.jp/momoiharappakoen
Monaghan Town parkrun	54.230083	-6.99626	Ireland	Ulster	Monaghan	parkrunning	[]	https://www.parkrun.ie/monaghantown
Monrepos parkrun	48.918396	9.172071	Germany	Baden-Württemberg	Regierungsbezirk Stuttgart	parkrunning	[]	https://www.parkrun.com.de/monrepos
Monsal Trail parkrun	53.230788	-1.675286	United Kingdom	England	Derbyshire	parkrunning	[]	https://www.parkrun.org.uk/monsaltrail
Montrose Foreshore parkrun	-42.8227	147.269908	Australia	Tasmania	Glenorchy	parkrunning	[]	https://www.parkrun.com.au/montroseforeshore
Montrose parkrun	56.726297	-2.455223	United Kingdom	Scotland	Angus	parkrunning	[]	https://www.parkrun.org.uk/montrose
Moora parkrun	-30.638892	116.004276	Australia	Western Australia	Moora	parkrunning	[]	https://www.parkrun.com.au/moora
Moormead junior parkrun	51.451595	-0.326684	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/moormead-juniors
Moors Valley junior parkrun	50.851371	-1.849369	United Kingdom	England	Dorset	junior parkrunning	[]	https://www.parkrun.org.uk/moorsvalley-juniors
Moors Valley parkrun	50.85124	-1.849419	United Kingdom	England	Dorset	parkrunning	[]	https://www.parkrun.org.uk/moorsvalley
Morecambe Prom parkrun	54.065082	-2.885102	United Kingdom	England	Lancashire	parkrunning	[]	https://www.parkrun.org.uk/morecambeprom
Moree parkrun	-29.46707	149.843183	Australia	New South Wales	Moree Plains	parkrunning	[]	https://www.parkrun.com.au/moree
Mosman parkrun	-33.806252	151.245989	Australia	New South Wales	Mosman	parkrunning	[]	https://www.parkrun.com.au/mosman
Mount Ainslie parkrun	-35.278828	149.152038	Australia	Australian Capital Territory		parkrunning	[]	https://www.parkrun.com.au/mountainslie
Mount Barker parkrun	-35.069655	138.867869	Australia	South Australia	Mount Barker	parkrunning	[]	https://www.parkrun.com.au/mountbarker
Mount Beauty parkrun	-36.736278	147.174015	Australia	Victoria	Alpine	parkrunning	[]	https://www.parkrun.com.au/mountbeauty
Mount Edgcumbe parkrun	50.357664	-4.175493	United Kingdom	England	Cornwall	parkrunning	[]	https://www.parkrun.org.uk/mountedgcumbe
Mount Gambier parkrun	-37.84289	140.777854	Australia	South Australia	Mount Gambier	parkrunning	[]	https://www.parkrun.com.au/mountgambier
Mount Helena parkrun	-31.879999	116.208462	Australia	Western Australia	Mundaring	parkrunning	[]	https://www.parkrun.com.au/mounthelena
Mount Isa parkrun	-20.702319	139.492772	Australia	Queensland	Mount Isa	parkrunning	[]	https://www.parkrun.com.au/mountisa
Mount Stuart parkrun	55.792888	-5.019453	United Kingdom	Scotland	Argyll and Bute	parkrunning	[]	https://www.parkrun.org.uk/mountstuart
Mountain Drive parkrun, Graaff-Reinet	-32.244765	24.524985	South Africa	Eastern Cape	Sarah Baartman District Municipality	parkrunning	[]	https://www.parkrun.co.za/mountaindrive
Mountlucas parkrun	53.281689	-7.206523	Ireland	Leinster	Offaly	parkrunning	[]	https://www.parkrun.ie/mountlucas
Moussette parkrun	45.407485	-75.771231	Canada	Quebec	Outaouais	parkrunning	[]	https://www.parkrun.ca/moussette
Mt Clarence parkrun	-35.025659	117.916528	Australia	Western Australia	Albany	parkrunning	[]	https://www.parkrun.com.au/mtclarence
Mt Penang parkrun	-33.426328	151.293178	Australia	New South Wales	Central Coast	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course obstructed'}]	https://www.parkrun.com.au/mtpenang
Mthatha parkrun	-31.58678	28.776247	South Africa	Eastern Cape	OR Tambo District Municipality	parkrunning	[]	https://www.parkrun.co.za/mthatha
Mudgee parkrun	-32.589229	149.586719	Australia	New South Wales	Mid-Western Regional	parkrunning	[]	https://www.parkrun.com.au/mudgee
Mudgeeraba parkrun	-28.086682	153.364098	Australia	Queensland	Gold Coast	parkrunning	[]	https://www.parkrun.com.au/mudgeeraba
Mudjimba Beach parkrun	-26.615149	153.100818	Australia	Queensland	Sunshine Coast	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Parts of course under water. More rain expected.'}]	https://www.parkrun.com.au/mudjimbabeach
Mullingar parkrun	53.517513	-7.368025	Ireland	Leinster	Westmeath	parkrunning	[]	https://www.parkrun.ie/mullingar
Mullum Mullum parkrun	-37.811673	145.21251	Australia	Victoria	Whitehorse	parkrunning	[]	https://www.parkrun.com.au/mullummullum
Mundy Regional parkrun	-31.96618	116.035959	Australia	Western Australia	Kalamunda	parkrunning	[]	https://www.parkrun.com.au/mundyregional
Mundy parkrun	49.261576	-122.834541	Canada	British Columbia	Metro Vancouver Regional District	parkrunning	[]	https://www.parkrun.ca/mundy
Mungret parkrun	52.632016	-8.681348	Ireland	Munster	Limerick	parkrunning	[]	https://www.parkrun.ie/mungret
Mura di Lucca parkrun	43.839078	10.500336	Italy	Tuscany	Provincia di Lucca	parkrunning	[]	https://www.parkrun.it/muradilucca
Murray Bridge parkrun	-35.121567	139.285558	Australia	South Australia	Murray Bridge	parkrunning	[]	https://www.parkrun.com.au/murraybridge
Musgrave junior parkrun	54.570204	-5.974033	United Kingdom	Northern Ireland	Belfast	junior parkrunning	[]	https://www.parkrun.org.uk/musgrave-juniors
Myponga Reservoir parkrun	-35.394655	138.452385	Australia	South Australia	Yankalilla	parkrunning	[]	https://www.parkrun.com.au/mypongareservoir
Myrtle parkrun	53.846344	-1.838295	United Kingdom	England	Bradford	parkrunning	[]	https://www.parkrun.org.uk/myrtle
Máxima parkrun	52.095526	5.025433	Netherlands	Utrecht	Utrecht	parkrunning	[]	https://www.parkrun.co.nl/maxima
Naas parkrun	53.220327	-6.644948	Ireland	Leinster	Kildare	parkrunning	[]	https://www.parkrun.ie/naas
Nagaragawa koen parkrun	35.440942	136.771641	Japan	Gifu	Gifu-shi	parkrunning	[]	https://www.parkrun.jp/nagaragawakoen
Nahoon Point parkrun	-32.988135	27.949644	South Africa	Eastern Cape	Buffalo City Metropolitan Municipality	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Local authority refused permission to use venue.'}]	https://www.parkrun.co.za/nahoonpoint
Nambour parkrun	-26.594251	152.973543	Australia	Queensland	Sunshine Coast	parkrunning	[]	https://www.parkrun.com.au/nambour
