id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
230,wansteadflats,Wanstead Flats parkrun,Wanstead Flats,,97,1,"Wanstead Flats, Epping Forest",51.56078,0.014977
231,salford-juniors,Salford junior parkrun,Salford juniors,Salford junior parkrun,97,2,Buille Hill Park,53.490729,-2.3054
232,durham,Durham parkrun,Durham,,97,1,"Graham Sports Centre, Durham",54.767605,-1.558852
233,poole,Poole parkrun,Poole,,97,1,"Poole Park, Poole",50.720348,-1.968876
234,henleyonthames,Henley-on-Thames parkrun,Henley-on-Thames,,97,1,Henley-on-Thames,51.531978,-0.919288
236,netleyabbey-juniors,Netley Abbey junior parkrun,Netley Abbey juniors,Netley Abbey junior parkrun,97,2,Royal Victoria Country Park,50.8683,-1.345392
237,derrycity,Derry City parkrun,Derry City,,97,1,Derry City Centre,55.006966,-7.318933
238,stokesbay-juniors,Stokes Bay junior parkrun,Stokes Bay juniors,Stokes Bay junior parkrun,97,2,Stokes Bay Promenade,50.781474,-1.153797
239,killerton,Killerton parkrun,Killerton,,97,1,"Killerton, Broadclyst",50.792835,-3.455007
240,barnsley,Barnsley parkrun,Barnsley,,97,1,"Locke Park, Barnsley",53.544369,-1.486115
241,riddlesdown,Riddlesdown parkrun,Riddlesdown,,97,1,"Riddlesdown, Warlingham",51.318485,-0.079549
242,chester,Chester parkrun,Chester,,97,1,Countess of Chester Country Park,53.207796,-2.902368
243,jordanstown-juniors,Jordanstown junior parkrun,Jordanstown juniors,Jordanstown junior parkrun,97,2,"Ulster University, Jordanstown Campus",54.68829,-5.88614
244,kettering,Kettering parkrun,Kettering,,97,1,Wicksteed Park,52.384226,-0.710653
245,burystedmunds,Bury St Edmunds parkrun,Bury St Edmunds,,97,1,Nowton Park,52.224887,0.730183
246,marketharborough,Market Harborough parkrun,Market Harborough,,97,1,Welland Park,52.474487,-0.924979
247,rothwell,Rothwell parkrun,Rothwell,,97,1,Springhead Park,53.750032,-1.473456
248,gateshead,Gateshead parkrun,Gateshead,,97,1," Saltwell Park, Gateshead",54.944733,-1.602094
249,standrews,St Andrews parkrun,St Andrews,,97,1,Craigtoun Country Park,56.317711,-2.838234
250,nobles,Nobles parkrun,Nobles,,97,1,Nobles Park,54.165828,-4.481846
251,walsall,Walsall Arboretum parkrun,Walsall Arboretum,,97,1,Walsall Arboretum,52.58725,-1.966252
252,penningtonflash,Pennington Flash parkrun,Pennington Flash,,97,1,Pennington Flash,53.491608,-2.542745
253,acton-juniors,Acton junior parkrun,Acton juniors,Acton junior parkrun,97,2,Acton Park,51.507905,-0.258062
254,pymmes,Pymmes parkrun,Pymmes,,97,1,"Pymmes Park, Edmonton",51.61887,-0.066953
255,princes,"Princes parkrun, Liverpool",Princes,,97,1,"Princes Park, Liverpool",53.386456,-2.956975
256,vejen,Vejen parkrun,Vejen,,23,1,Vejen Idrætscenter,55.474609,9.120852
257,crystalpalace-juniors,Crystal Palace junior parkrun,Crystal Palace juniors,Crystal Palace junior parkrun,97,2,Crystal Palace Park,51.419792,-0.06577
258,huddersfield,Huddersfield parkrun,Huddersfield,,97,1,"Greenhead Park, Huddersfield",53.650608,-1.800685
259,maesteg,Maesteg parkrun,Maesteg,,97,1,Welfare Park,51.609499,-3.665573
