Event	Country	Cancellation Note	Website
Shrewsbury parkrun	United Kingdom	Let's Rock Shrewsbury taking place in park	https://www.parkrun.org.uk/shrewsbury
Silveroaks parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/silveroaks
Skatås parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/skatas
Skipton parkrun	United Kingdom	Music Festival in the park all weekend.	https://www.parkrun.org.uk/skipton
Sligo parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/sligo
Somerset West parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/somersetwest
Sonsbeek parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/sonsbeek
South Park junior parkrun	United Kingdom	Park prebooked for another event all day no access	https://www.parkrun.org.uk/southpark-juniors
Springbok parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/springbok
Springburn parkrun, Glasgow	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/springburn
Springs parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/springs
St Andrews parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/standrews
St Anne’s junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/stannes-juniors
St Anne’s parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/stannes
St Francis parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/stfrancis
St Mary’s Campus junior parkrun	Ireland	COVID-19 (Coronavirus)	
St Nicholas junior parkrun	United Kingdom	COVID-19 (Coronavirus)	
Stadspark parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/stadspark
Standerton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/standerton
Sterkfontein parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sterkfontein
Steynsrus Showground parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/steynsrusshowground
Stonehaven parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stonehaven
Storthes Hall parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stortheshall
Strand Beach parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/strandbeach
Stranmillis College parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stranmilliscollege
Strathclyde parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/strathclyde
Strathmartine junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/strathmartine-juniors
Strokestown parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/strokestown
Sunnidale parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/sunnidale
Sunrise-on-Sea parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sunriseonsea
Sutherland parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sutherland
Swadlincote junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swadlincote-juniors
Swakopmund parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/swakopmund
Swansea Bay parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swanseabay
Swellendam parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/swellendam
Swinfen parkrun	United Kingdom	COVID-19 (Coronavirus)	
Taman Pudu Ulu parkrun	Malaysia	COVID-19 (Coronavirus)	https://www.parkrun.my/tamanpuduulu
Taman Tasik Danau Kota parkrun	Malaysia	COVID-19 (Coronavirus)	https://www.parkrun.my/tamantasikdanaukota
Tees Barrage parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/teesbarrage
Templemore parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/templemore
The Glen parkrun	Ireland	COVID-19 (Coronavirus)	
The Grand Canal Way parkrun, Tullamore	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/thegrandcanalway
The Woodlands Waterway parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/thewoodlandswaterway
Thousand Hills parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/thousandhills
Thurso parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thurso
Tinley Manor parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/tinleymanor
Tokoinranta parkrun	Finland	COVID-19 (Coronavirus)	https://www.parkrun.fi/tokoinranta
Tolka Valley parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tolkavalley
Tollcross parkrun, Glasgow	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tollcross
Tooting Common junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tootingcommon-juniors
Town Moor junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/townmoor-juniors
Tralee junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tralee-juniors
Tralee parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tralee
Tramore parkrun, Waterford	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tramore
Trelai Park parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/trelaipark
Tremorfa parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tremorfa
Tring parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tring
Troon parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/troon
Tsakane Wetlands parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/tsakanewetlands
Tsujido kaihin koen parkrun	Japan	Due to a COVID-19 state of emergency.	https://www.parkrun.jp/tsujidokaihinkoen
Tullow parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tullow
Tymon parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tymon
Tyrrelstown parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/tyrrelstown
Tøyen parkrun	Norway	COVID-19 (Coronavirus)	https://www.parkrun.no/toyen
Umdoni parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/umdoni
Umhlanga parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/umhlanga
University of Stirling parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/universityofstirling
Uppsala parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/uppsala
Urayasushi sogo koen parkrun	Japan	緊急事態宣言発令のため	https://www.parkrun.jp/urayasushisogokoen
Ury Riverside parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/uryriverside
Uvongo parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/uvongo
Vaal Marina parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/vaalmarina
Valhalla parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/valhalla
Vallaskogen parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/vallaskogen
Vandeleur parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/vandeleur
Vicarstown junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/vicarstown-juniors
Vicarstown parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/vicarstown
Victoria Dock parkrun	United Kingdom	London triathlon taking place on course	https://www.parkrun.org.uk/victoriadock
Victoria Lake parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/victorialake
Victoria parkrun, Glasgow	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/victoria
Victoria parkrun, Kitchener	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/victoriakitchener
Victoria parkrun, Truro	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/victoriatruro
Villiersdorp parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/villiersdorp
Vogrie parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/vogrie
Volksgarten parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/volksgarten
Voortrekker Monument parkrun, Pretoria	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/voortrekkermonument
Vrede parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/vrede
Vryburg parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/vryburg
Vryheid parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/vryheid
Växjösjön parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/vaxjosjon
Wallaceneuk parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/wallaceneuk
Walton parkrun	United Kingdom	COVID-19 (Coronavirus)	
Walvis Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/walvisbay
Wardown junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/wardown-juniors
Wascana parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/wascana
Waterfall parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/waterfall
Waterford Nature parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/waterfordnature
Waterstown parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/waterstown
Wayland parkrun	United Kingdom	COVID-19 (Coronavirus)	
Weavers Country Estate parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/weaverscountryestate
Weedon Island Preserve parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/weedonislandpreserve
Welkom parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/welkom
Wellington parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/wellington
Wells Estate parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/wellsestate
Wepre parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/wepre
Werrington parkrun	United Kingdom	COVID-19 (Coronavirus)	
West Coast Park parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/westcoastpark
West Smethwick junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/westsmethwick-juniors
Westbury parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/westbury
Westonaria parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/westonaria
Westpark parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/westpark
Westport parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/westport
Westville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/westville
Wexford Racecourse parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/wexfordracecourse
Whistler parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/whistler
Whitby parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/whitby
White River parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/whiteriver
Whiteley junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/whiteley-juniors
Whiteley parkrun	United Kingdom	not enough run directors, no ED	https://www.parkrun.org.uk/whiteley
Winchester junior parkrun	United Kingdom	Cheese & Chilli festival in the park	https://www.parkrun.org.uk/winchester-juniors
Winchester parkrun	United Kingdom	Cheese and Chilli Festival	https://www.parkrun.org.uk/winchester
Windhoek parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/windhoek
Winterton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/winterton
Wirral Country Park junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/wirralcountrypark-juniors
Wisbech junior parkrun	United Kingdom	Wisbech Rock Festival taking place in the park.	https://www.parkrun.org.uk/wisbech-juniors
Witbank parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/witbank
Wits parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/wits
Wittelsbacher Park parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/wittelsbacherpark
Woodlands parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/woodlands
Yeovil Montacute parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/yeovilmontacute
Yzerfontein parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/yzerfontein
Zandvlei parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/zandvlei
Zuiderpark parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/zuiderpark
iMonti parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/imonti
parkrun Angarskie Prudy	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/angarskieprudy
parkrun Babushkinsky na Yauze	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/babushkinskynayauze
parkrun Butovo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/butovo
parkrun Chertanovo Pokrovsky Park	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/chertanovopokrovskypark
parkrun Druzhba	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/druzhba
parkrun Elagin Ostrov	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/elaginostrov
parkrun Fili	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/fili
parkrun Gatchina Prioratsky	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/gatchinaprioratsky
parkrun Gorky Park	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/gorkypark
parkrun Gorodskoy Park Semya	Russia	все уезжают на полумарафон	https://www.parkrun.ru/gorodskoyparksemya
parkrun Internatsionalistov	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/internatsionalistov
parkrun Izmailovo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/izmailovo
parkrun Kolomenskoe	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/kolomenskoe
parkrun Kolpino	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/kolpino
parkrun Korolev	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/korolev
parkrun Kuzminki	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/kuzminki
parkrun Lebediny Ray	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/lebedinyray
parkrun Mega Park Kudrovo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/megaparkkudrovo
parkrun Mikhalkovo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/mikhalkovo
parkrun Mitino	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/mitino
parkrun Moskovsky Park Pobedy	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/moskovskyparkpobedy
parkrun Olimpiyskaya Derevnya	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/olimpiyskayaderevnya
parkrun Park Guskova	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/parkguskova
parkrun Park Radolińskich	Poland	Construction work in the park	https://www.parkrun.pl/parkradolinskich
parkrun Perm Balatovo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/permbalatovo
parkrun Petergof Aleksandriysky	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/petergofaleksandriysky
parkrun Pushkin	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/pushkin
parkrun Readovsky Park	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/readovskypark
parkrun Ryazan Central	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/ryazancentral
parkrun Ryazan Oreshek	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/ryazanoreshek
parkrun Severnoe Tushino	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/severnoetushino
parkrun Shuvalovsky Park	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/shuvalovskypark
parkrun Sokolniki	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/sokolniki
parkrun Sosnovka	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/sosnovka
parkrun Timiryazevsky	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/timiryazevsky
parkrun Tsaritsyno	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/tsaritsyno
parkrun Vernadskogo	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/vernadskogo
parkrun Wolbrom	Poland	Poszukujemy zespołu do prowadzenia spotkań parkrun	https://www.parkrun.pl/wolbrom
parkrun park 850-letiya Moskvy	Russia	COVID-19 (Coronavirus)	https://www.parkrun.ru/park850letiyamoskvy
